come_from,year,trimester,avg_person_day,avg_person,percentage_Galicia,percentage_Spain
Germany,2022,1,54.36,194.03,4.68,0.92
Germany,2021,4,57.08,195.54,6.19,1.31
Germany,2021,3,66.91,206.77,8.06,2.02
Germany,2021,2,75.35,171.47,5.64,1.02
Germany,2021,1,53.29,148.39,4.55,1.37
Germany,2020,4,62.96,153.38,4.44,2.27
Germany,2020,3,60.82,170.31,6.74,2.34
Germany,2020,2,0.0,0.0,0.0,0.0
Germany,2020,1,75.52,262.67,4.45,1.09
Germany,2019,4,86.7,324.31,6.23,1.53
Germany,2019,3,89.42,332.61,8.05,2.39
Germany,2019,2,107.73,338.24,8.45,1.95
Germany,2019,1,81.73,210.19,4.85,0.92
Germany,2018,4,87.55,284.09,6.23,1.42
Germany,2018,3,82.3,349.43,8.1,2.47
Germany,2018,2,100.44,332.96,8.99,2.09
Germany,2018,1,89.26,303.44,4.57,1.31
Andorra,2022,1,82.18,304.1,0.41,2.08
Andorra,2021,4,71.84,242.36,0.43,2.45
Andorra,2021,3,65.79,200.38,0.63,3.75
Andorra,2021,2,85.31,192.73,0.55,2.28
Andorra,2021,1,67.11,187.38,0.53,2.22
Andorra,2020,4,74.32,180.72,0.52,3.09
Andorra,2020,3,57.3,161.3,0.78,3.46
Andorra,2020,2,0.0,0.0,0.0,0.0
Andorra,2020,1,75.2,263.61,0.38,1.87
Andorra,2019,4,83.03,302.67,0.37,2.21
Andorra,2019,3,69.81,262.24,0.41,3.17
Andorra,2019,2,85.05,264.1,0.24,1.52
Andorra,2019,1,78.43,203.79,0.32,1.39
Andorra,2018,4,83.52,259.73,0.35,1.94
Andorra,2018,3,61.12,257.49,0.39,3.27
Andorra,2018,2,86.78,285.91,0.31,1.94
Andorra,2018,1,83.02,302.21,0.36,2.35
Austria,2022,1,44.62,163.73,0.38,0.92
Austria,2021,4,53.19,182.59,0.57,1.67
Austria,2021,3,58.04,178.93,0.72,2.17
Austria,2021,2,67.58,153.51,0.46,1.44
Austria,2021,1,47.37,129.75,0.36,1.46
Austria,2020,4,65.22,160.55,0.52,3.31
Austria,2020,3,60.05,166.57,0.51,3.11
Austria,2020,2,0.0,0.0,0.0,0.0
Austria,2020,1,69.5,235.3,0.34,1.0
Austria,2019,4,90.14,337.5,0.56,1.79
Austria,2019,3,89.28,332.28,0.74,2.43
Austria,2019,2,107.27,336.32,0.81,2.18
Austria,2019,1,68.07,175.32,0.35,0.76
Austria,2018,4,93.49,301.55,0.57,1.6
Austria,2018,3,80.73,342.96,0.7,2.38
Austria,2018,2,107.01,352.88,0.88,2.61
Austria,2018,1,78.03,276.63,0.33,1.15
Belgium,2022,1,53.02,196.9,1.33,0.72
Belgium,2021,4,53.66,187.7,1.52,0.93
Belgium,2021,3,61.08,187.7,2.69,1.32
Belgium,2021,2,67.24,152.85,1.28,0.89
Belgium,2021,1,50.58,143.41,1.45,1.51
Belgium,2020,4,66.45,153.8,1.67,1.81
Belgium,2020,3,54.66,155.73,2.61,1.61
Belgium,2020,2,0.0,0.0,0.0,0.0
Belgium,2020,1,61.0,220.06,1.2,0.81
Belgium,2019,4,70.68,259.39,1.28,0.96
Belgium,2019,3,73.27,273.99,2.21,1.45
Belgium,2019,2,85.69,268.08,1.59,1.13
Belgium,2019,1,65.88,171.93,1.3,0.69
Belgium,2018,4,77.89,242.19,1.45,1.07
Belgium,2018,3,66.78,279.91,2.19,1.52
Belgium,2018,2,79.72,262.9,1.64,1.15
Belgium,2018,1,77.06,283.35,1.36,1.11
Denmark,2022,1,38.14,139.95,0.29,0.43
Denmark,2021,4,43.9,149.16,0.53,0.85
Denmark,2021,3,48.25,149.91,0.64,1.02
Denmark,2021,2,57.28,129.29,0.37,1.29
Denmark,2021,1,31.87,87.06,0.35,2.17
Denmark,2020,4,45.02,106.69,0.27,2.45
Denmark,2020,3,46.08,127.83,0.35,1.61
Denmark,2020,2,0.0,0.0,0.0,0.0
Denmark,2020,1,53.45,187.21,0.33,0.55
Denmark,2019,4,63.3,237.65,0.54,1.12
Denmark,2019,3,60.69,224.83,0.72,1.5
Denmark,2019,2,69.77,215.18,0.71,1.53
Denmark,2019,1,55.91,143.38,0.5,0.63
Denmark,2018,4,64.27,210.34,0.68,1.27
Denmark,2018,3,54.85,231.08,0.63,1.27
Denmark,2018,2,67.32,224.08,0.73,1.49
Denmark,2018,1,66.54,215.95,0.41,0.71
Finland,2022,1,35.78,129.51,0.19,0.31
Finland,2021,4,43.13,147.8,0.21,0.44
Finland,2021,3,41.9,130.86,0.13,1.06
Finland,2021,2,52.75,119.68,0.16,1.25
Finland,2021,1,31.49,85.67,0.14,0.9
Finland,2020,4,28.2,69.24,0.15,1.46
Finland,2020,3,32.39,88.14,0.14,1.93
Finland,2020,2,0.0,0.0,0.0,0.0
Finland,2020,1,46.19,155.88,0.26,0.39
Finland,2019,4,54.79,201.94,0.31,0.55
Finland,2019,3,51.95,192.14,0.22,1.17
Finland,2019,2,62.54,193.99,0.33,0.98
Finland,2019,1,42.94,109.82,0.24,0.27
Finland,2018,4,55.76,177.77,0.3,0.5
Finland,2018,3,48.55,206.05,0.22,1.16
Finland,2018,2,59.27,197.2,0.35,0.97
Finland,2018,1,51.55,175.1,0.26,0.47
France,2022,1,56.39,208.62,8.41,1.32
France,2021,4,55.31,192.53,9.27,1.63
France,2021,3,58.82,178.35,15.3,2.02
France,2021,2,65.89,149.21,9.75,1.58
France,2021,1,48.49,135.45,10.26,1.77
France,2020,4,56.67,137.09,11.03,2.53
France,2020,3,52.54,149.46,16.62,2.03
France,2020,2,0.0,0.0,0.0,0.0
France,2020,1,60.87,211.62,8.16,1.31
France,2019,4,67.97,249.94,8.16,1.56
France,2019,3,62.66,235.69,13.95,2.11
France,2019,2,73.32,227.89,8.27,1.37
France,2019,1,54.37,140.41,8.32,1.11
France,2018,4,62.93,197.11,8.5,1.61
France,2018,3,55.47,233.65,13.94,2.21
France,2018,2,63.63,211.07,8.8,1.47
France,2018,1,60.31,218.64,9.0,1.88
Ireland,2022,1,39.99,146.22,1.99,1.39
Ireland,2021,4,43.54,150.8,2.07,1.74
Ireland,2021,3,47.62,147.81,1.74,1.94
Ireland,2021,2,42.12,95.11,1.9,3.91
Ireland,2021,1,28.17,76.65,2.03,3.23
Ireland,2020,4,32.5,78.02,1.89,4.28
Ireland,2020,3,36.13,98.51,1.47,3.85
Ireland,2020,2,0.0,0.0,0.0,0.0
Ireland,2020,1,40.72,137.05,1.99,1.95
Ireland,2019,4,52.88,195.1,2.1,2.2
Ireland,2019,3,67.4,249.75,2.11,2.26
Ireland,2019,2,74.89,233.56,2.98,2.63
Ireland,2019,1,42.6,108.78,1.54,1.24
Ireland,2018,4,64.15,201.1,1.42,1.65
Ireland,2018,3,69.92,296.43,1.96,2.38
Ireland,2018,2,79.38,258.85,2.21,2.14
Ireland,2018,1,66.33,226.0,0.87,1.19
Italy,2022,1,34.66,125.77,2.92,1.77
Italy,2021,4,36.95,126.46,3.36,2.52
Italy,2021,3,41.1,125.84,3.52,2.6
Italy,2021,2,45.76,104.03,2.52,2.1
Italy,2021,1,35.27,96.76,2.45,2.3
Italy,2020,4,45.02,108.8,2.64,3.86
Italy,2020,3,42.95,120.14,2.83,2.93
Italy,2020,2,0.0,0.0,0.0,0.0
Italy,2020,1,48.36,167.2,2.58,1.57
Italy,2019,4,57.2,212.71,3.42,2.37
Italy,2019,3,61.1,228.83,5.08,3.03
Italy,2019,2,68.86,215.69,3.95,2.68
Italy,2019,1,49.25,126.65,2.98,1.37
Italy,2018,4,59.77,191.09,3.54,2.28
Italy,2018,3,57.27,242.43,5.26,3.35
Italy,2018,2,68.64,224.61,4.19,2.79
Italy,2018,1,60.89,215.75,2.95,2.11
Norway,2022,1,56.84,206.54,0.4,0.3
Norway,2021,4,57.12,194.81,0.42,0.41
Norway,2021,3,63.5,198.37,0.3,0.67
Norway,2021,2,79.07,178.81,0.34,1.42
Norway,2021,1,59.55,160.89,0.48,1.88
Norway,2020,4,73.98,183.21,0.46,2.18
Norway,2020,3,54.56,146.53,0.45,2.25
Norway,2020,2,0.0,0.0,0.0,0.0
Norway,2020,1,56.02,196.09,0.37,0.26
Norway,2019,4,74.28,278.36,0.5,0.42
Norway,2019,3,72.08,267.29,0.59,0.63
Norway,2019,2,89.9,280.45,0.63,0.66
Norway,2019,1,73.67,189.19,0.59,0.31
Norway,2018,4,76.08,242.13,0.53,0.4
Norway,2018,3,65.62,277.19,0.53,0.57
Norway,2018,2,80.2,268.58,0.59,0.59
Norway,2018,1,86.12,296.32,0.46,0.35
Netherlands,2022,1,42.02,154.13,2.05,0.79
Netherlands,2021,4,45.07,156.91,2.49,1.1
Netherlands,2021,3,48.78,149.67,3.29,1.17
Netherlands,2021,2,55.58,126.37,2.0,1.06
Netherlands,2021,1,39.79,111.2,1.96,1.91
Netherlands,2020,4,48.64,117.36,1.86,2.47
Netherlands,2020,3,44.75,126.65,2.93,1.65
Netherlands,2020,2,0.0,0.0,0.0,0.0
Netherlands,2020,1,52.5,183.52,1.53,0.82
Netherlands,2019,4,63.64,236.78,2.05,1.19
Netherlands,2019,3,65.06,242.87,2.87,1.38
Netherlands,2019,2,77.95,246.78,2.7,1.33
Netherlands,2019,1,52.32,135.22,1.62,0.69
Netherlands,2018,4,64.29,205.06,1.84,1.05
Netherlands,2018,3,60.66,255.79,2.9,1.45
Netherlands,2018,2,72.43,238.34,2.6,1.22
Netherlands,2018,1,66.8,245.1,1.76,1.14
Polonia,2022,1,27.66,102.15,0.55,1.01
Polonia,2021,4,28.03,94.94,0.56,1.48
Polonia,2021,3,31.9,99.29,0.64,1.77
Polonia,2021,2,36.27,82.26,0.54,1.3
Polonia,2021,1,23.86,64.63,0.66,1.56
Polonia,2020,4,29.28,71.02,0.61,2.5
Polonia,2020,3,26.79,73.39,0.51,2.2
Polonia,2020,2,0.0,0.0,0.0,0.0
Polonia,2020,1,31.51,102.29,0.63,1.68
Polonia,2019,4,34.33,127.31,0.56,1.98
Polonia,2019,3,41.87,155.38,0.61,2.56
Polonia,2019,2,46.1,143.62,0.56,2.03
Polonia,2019,1,35.87,91.82,0.65,1.52
Polonia,2018,4,36.14,114.1,0.52,1.82
Polonia,2018,3,38.55,163.91,0.48,2.32
Polonia,2018,2,44.35,147.51,0.53,1.98
Polonia,2018,1,44.22,154.8,0.56,2.01
Portugal,2022,1,69.17,255.06,34.19,26.39
Portugal,2021,4,63.13,219.51,29.3,26.65
Portugal,2021,3,58.12,178.88,22.0,22.09
Portugal,2021,2,65.56,149.52,31.23,27.52
Portugal,2021,1,45.13,126.14,21.13,19.68
Portugal,2020,4,53.55,130.51,28.73,30.86
Portugal,2020,3,47.89,131.96,26.2,30.08
Portugal,2020,2,0.0,0.0,0.0,0.0
Portugal,2020,1,59.04,202.42,31.04,23.98
Portugal,2019,4,64.24,233.55,25.57,23.47
Portugal,2019,3,59.02,220.15,20.08,22.33
Portugal,2019,2,68.31,211.47,22.78,22.77
Portugal,2019,1,52.73,135.95,31.23,21.81
Portugal,2018,4,58.32,178.25,25.44,23.8
Portugal,2018,3,51.44,217.93,19.3,23.63
Portugal,2018,2,58.85,194.48,20.25,22.23
Portugal,2018,1,57.96,209.32,28.47,28.76
UK,2022,1,48.77,180.07,6.89,1.04
UK,2021,4,48.38,170.69,7.44,1.28
UK,2021,3,50.9,156.32,6.69,1.25
UK,2021,2,58.07,131.45,5.89,1.96
UK,2021,1,42.31,117.7,9.46,2.89
UK,2020,4,52.48,125.04,9.26,2.55
UK,2020,3,43.23,120.29,9.21,2.12
UK,2020,2,0.0,0.0,0.0,0.0
UK,2020,1,56.5,198.84,8.13,1.17
UK,2019,4,65.69,242.22,8.51,1.35
UK,2019,3,65.83,245.16,7.9,1.23
UK,2019,2,74.82,233.28,8.47,1.17
UK,2019,1,52.88,136.75,8.69,0.91
UK,2018,4,68.18,213.58,9.72,1.29
UK,2018,3,66.53,282.14,9.32,1.43
UK,2018,2,72.32,238.51,9.7,1.23
UK,2018,1,68.47,242.65,9.27,1.45
Romania,2022,1,37.74,136.4,0.49,1.3
Romania,2021,4,39.18,135.33,0.42,1.48
Romania,2021,3,40.8,127.07,0.29,1.37
Romania,2021,2,47.51,107.31,0.58,1.82
Romania,2021,1,29.01,79.76,0.9,2.23
Romania,2020,4,40.18,93.45,0.76,2.94
Romania,2020,3,35.91,98.04,0.47,2.37
Romania,2020,2,0.0,0.0,0.0,0.0
Romania,2020,1,46.31,150.37,0.53,1.64
Romania,2019,4,52.9,195.08,0.45,1.8
Romania,2019,3,54.64,202.54,0.28,1.64
Romania,2019,2,53.35,166.04,0.29,1.32
Romania,2019,1,46.0,117.22,0.4,1.19
Romania,2018,4,56.45,176.26,0.31,1.37
Romania,2018,3,52.27,220.46,0.21,1.51
Romania,2018,2,50.76,169.76,0.33,1.64
Romania,2018,1,55.02,184.38,0.47,2.24
Russia,2022,1,66.27,269.69,0.61,0.59
Russia,2021,4,49.65,171.05,0.47,0.78
Russia,2021,3,48.07,149.06,0.31,0.75
Russia,2021,2,56.66,128.12,0.49,0.89
Russia,2021,1,41.89,115.65,0.73,0.99
Russia,2020,4,50.4,116.63,0.46,0.92
Russia,2020,3,44.08,121.78,0.41,0.9
Russia,2020,2,0.0,0.0,0.0,0.0
Russia,2020,1,49.9,171.5,0.72,0.57
Russia,2019,4,51.35,191.85,0.72,0.74
Russia,2019,3,46.83,173.93,0.6,0.53
Russia,2019,2,51.99,160.83,0.68,0.65
Russia,2019,1,39.63,102.15,0.48,0.33
Russia,2018,4,48.64,157.58,0.55,0.6
Russia,2018,3,45.44,193.26,0.49,0.5
Russia,2018,2,57.12,192.2,0.66,0.65
Russia,2018,1,58.48,207.18,0.53,0.54
Sweden,2022,1,46.54,170.97,0.46,0.36
Sweden,2021,4,49.87,168.61,0.68,0.59
Sweden,2021,3,51.7,161.23,0.6,0.66
Sweden,2021,2,58.09,131.58,0.5,0.75
Sweden,2021,1,36.89,101.22,0.44,0.8
Sweden,2020,4,36.52,91.44,0.4,0.81
Sweden,2020,3,43.49,120.21,0.39,0.8
Sweden,2020,2,0.0,0.0,0.0,0.0
Sweden,2020,1,51.36,181.27,0.49,0.38
Sweden,2019,4,59.83,223.39,0.62,0.54
Sweden,2019,3,58.16,215.74,0.68,0.82
Sweden,2019,2,65.08,204.18,0.64,0.63
Sweden,2019,1,47.87,123.82,0.47,0.27
Sweden,2018,4,58.11,188.12,0.58,0.46
Sweden,2018,3,53.97,226.49,0.63,0.76
Sweden,2018,2,59.64,196.39,0.62,0.54
Sweden,2018,1,51.47,185.22,0.42,0.35
Switzerland,2022,1,118.27,444.4,5.22,4.2
Switzerland,2021,4,110.96,398.55,5.49,3.97
