come_from,year,trimester,avg_person_day,avg_person,percentage_Galicia,percentage_Spain
Switzerland,2021,3,101.48,311.3,8.59,5.82
Switzerland,2021,2,133.11,300.74,6.17,4.04
Switzerland,2021,1,120.38,343.7,7.39,7.82
Switzerland,2020,4,152.8,348.9,5.43,8.79
Switzerland,2020,3,101.77,291.51,7.37,7.95
Switzerland,2020,2,0.0,0.0,0.0,0.0
Switzerland,2020,1,132.71,496.27,6.23,5.54
Switzerland,2019,4,138.21,505.99,5.31,4.39
Switzerland,2019,3,118.72,444.32,6.27,5.77
Switzerland,2019,2,139.81,434.75,4.23,3.53
Switzerland,2019,1,124.08,325.19,5.62,3.99
Switzerland,2018,4,132.4,409.66,4.97,3.88
Switzerland,2018,3,107.07,448.74,6.51,6.16
Switzerland,2018,2,133.58,443.77,4.75,3.71
Switzerland,2018,1,146.89,560.28,6.66,6.58
Others Europe,2022,1,41.4,154.48,3.01,1.33
Others Europe,2021,4,41.93,145.03,3.21,1.79
Others Europe,2021,3,44.92,138.6,2.76,2.09
Others Europe,2021,2,64.53,146.04,3.5,2.25
Others Europe,2021,1,40.04,110.42,3.82,2.24
Others Europe,2020,4,48.08,112.9,2.67,2.97
Others Europe,2020,3,43.85,121.51,2.14,2.74
Others Europe,2020,2,0.0,0.0,0.0,0.0
Others Europe,2020,1,53.24,181.44,2.2,1.42
Others Europe,2019,4,54.57,202.43,2.2,1.64
Others Europe,2019,3,51.98,193.42,1.93,1.88
Others Europe,2019,2,60.01,187.43,2.06,1.67
Others Europe,2019,1,47.75,122.88,1.71,0.92
Others Europe,2018,4,54.35,173.57,1.8,1.32
Others Europe,2018,3,50.36,213.3,1.69,1.76
Others Europe,2018,2,58.36,193.76,1.94,1.58
Others Europe,2018,1,60.15,212.89,1.72,1.45
Argentina,2022,1,41.02,150.97,1.06,3.98
Argentina,2021,4,40.53,139.47,0.75,4.35
Argentina,2021,3,37.8,117.13,0.36,3.84
Argentina,2021,2,41.06,92.68,0.42,4.64
Argentina,2021,1,26.9,75.09,0.76,6.0
Argentina,2020,4,35.03,83.4,0.79,7.94
Argentina,2020,3,30.78,83.97,0.52,5.33
Argentina,2020,2,0.0,0.0,0.0,0.0
Argentina,2020,1,36.7,124.63,0.7,3.81
Argentina,2019,4,47.91,178.12,1.24,4.41
Argentina,2019,3,48.67,180.6,1.12,4.38
Argentina,2019,2,55.6,175.05,1.52,4.42
Argentina,2019,1,41.56,107.35,1.37,3.22
Argentina,2018,4,49.52,159.7,1.28,4.47
Argentina,2018,3,45.84,193.62,1.29,4.87
Argentina,2018,2,56.08,186.06,2.32,4.77
Argentina,2018,1,61.2,218.92,2.59,5.64
Brasil,2022,1,73.79,272.23,1.03,7.01
Brasil,2021,4,71.26,245.37,0.89,7.91
Brasil,2021,3,79.96,248.78,0.45,11.07
Brasil,2021,2,93.16,210.8,0.7,15.78
Brasil,2021,1,57.65,159.18,1.04,16.38
Brasil,2020,4,77.5,184.86,0.98,20.36
Brasil,2020,3,57.35,155.94,0.57,15.13
Brasil,2020,2,0.0,0.0,0.0,0.0
Brasil,2020,1,70.44,247.56,1.79,7.31
Brasil,2019,4,80.26,296.6,1.54,7.93
Brasil,2019,3,73.49,272.45,1.08,7.15
Brasil,2019,2,84.08,263.35,1.56,7.73
Brasil,2019,1,69.32,179.94,2.05,6.27
Brasil,2018,4,72.16,228.37,1.65,7.91
Brasil,2018,3,59.38,251.81,1.01,7.65
Brasil,2018,2,71.06,236.23,1.63,8.04
Brasil,2018,1,74.54,275.71,2.16,8.89
Canada,2022,1,101.48,356.46,0.52,2.76
Canada,2021,4,80.25,267.5,0.6,4.16
Canada,2021,3,79.94,247.99,0.31,3.66
Canada,2021,2,154.66,350.12,0.37,6.51
Canada,2021,1,99.44,277.08,0.4,5.36
Canada,2020,4,117.88,287.6,0.52,8.88
Canada,2020,3,82.18,223.99,0.3,6.01
Canada,2020,2,0.0,0.0,0.0,0.0
Canada,2020,1,93.97,314.25,0.49,1.77
Canada,2019,4,86.17,330.57,1.08,4.15
Canada,2019,3,71.46,264.0,0.7,3.06
Canada,2019,2,87.64,275.19,1.1,3.97
Canada,2019,1,79.36,203.65,0.49,1.41
Canada,2018,4,81.79,278.86,1.17,4.59
Canada,2018,3,67.01,286.67,0.75,3.52
Canada,2018,2,82.39,273.76,1.05,3.96
Canada,2018,1,102.92,339.54,0.43,1.98
Chile,2022,1,49.51,186.76,0.7,2.7
Chile,2021,4,56.31,195.59,0.61,2.67
Chile,2021,3,67.11,207.07,0.47,3.12
Chile,2021,2,86.31,194.93,0.4,3.62
Chile,2021,1,55.22,155.28,0.52,3.63
Chile,2020,4,70.62,165.44,0.45,4.88
Chile,2020,3,60.62,167.71,0.29,4.2
Chile,2020,2,0.0,0.0,0.0,0.0
Chile,2020,1,62.23,211.17,0.59,2.67
Chile,2019,4,74.49,275.98,0.47,2.59
Chile,2019,3,79.49,294.49,0.42,3.02
Chile,2019,2,88.12,276.73,0.43,2.47
Chile,2019,1,74.09,190.59,0.58,2.48
Chile,2018,4,91.76,291.62,0.45,2.78
Chile,2018,3,79.07,334.97,0.37,3.24
Chile,2018,2,94.81,310.28,0.47,2.93
Chile,2018,1,104.39,397.57,0.64,4.38
Colombia,2022,1,58.86,215.96,0.56,2.51
Colombia,2021,4,62.77,223.82,0.54,2.75
Colombia,2021,3,85.61,267.42,0.28,3.24
Colombia,2021,2,90.41,204.87,0.32,4.17
Colombia,2021,1,75.73,208.85,0.46,4.46
Colombia,2020,4,100.36,232.14,0.38,5.73
Colombia,2020,3,72.02,195.72,0.2,4.43
Colombia,2020,2,0.0,0.0,0.0,0.0
Colombia,2020,1,85.72,310.03,0.39,2.12
Colombia,2019,4,88.57,327.63,0.37,2.0
Colombia,2019,3,96.69,358.52,0.24,2.14
Colombia,2019,2,97.75,307.91,0.35,2.06
Colombia,2019,1,110.0,285.16,0.44,2.0
Colombia,2018,4,99.35,309.05,0.35,1.93
Colombia,2018,3,88.25,372.77,0.3,2.8
Colombia,2018,2,101.11,334.6,0.43,2.64
Colombia,2018,1,113.53,397.06,0.4,2.78
USA,2022,1,90.58,330.5,10.05,3.61
USA,2021,4,81.83,282.93,11.14,4.6
USA,2021,3,85.68,265.46,10.39,5.3
USA,2021,2,147.24,333.94,13.17,7.88
USA,2021,1,73.96,205.21,12.11,6.74
USA,2020,4,86.08,204.2,9.84,7.79
USA,2020,3,80.21,220.05,7.46,7.0
USA,2020,2,0.0,0.0,0.0,0.0
USA,2020,1,89.43,314.08,9.82,3.01
USA,2019,4,92.12,344.18,12.12,3.76
USA,2019,3,89.3,331.4,10.8,4.17
USA,2019,2,101.43,321.29,12.5,3.67
USA,2019,1,91.91,237.88,10.16,2.4
USA,2018,4,88.98,288.12,12.04,3.47
USA,2018,3,81.85,346.69,10.78,4.2
USA,2018,2,89.56,293.18,12.21,3.59
USA,2018,1,97.69,346.31,9.2,3.44
Mexico,2022,1,123.01,454.05,4.63,9.63
Mexico,2021,4,118.87,413.76,4.3,10.27
Mexico,2021,3,124.6,386.32,4.11,13.73
Mexico,2021,2,155.13,351.31,5.13,18.05
Mexico,2021,1,106.83,297.42,7.02,19.33
Mexico,2020,4,143.37,335.84,5.71,23.29
Mexico,2020,3,105.24,287.99,3.47,18.81
Mexico,2020,2,0.0,0.0,0.0,0.0
Mexico,2020,1,106.49,369.09,5.38,9.0
Mexico,2019,4,123.36,453.56,4.8,9.58
Mexico,2019,3,123.64,459.95,4.08,11.56
Mexico,2019,2,132.05,413.28,3.75,8.43
Mexico,2019,1,102.89,266.09,4.78,8.18
Mexico,2018,4,120.52,377.06,4.58,9.86
Mexico,2018,3,108.28,457.56,3.84,12.21
Mexico,2018,2,110.02,363.13,3.33,8.75
Mexico,2018,1,109.84,397.11,4.61,12.23
Others America,2022,1,78.4,294.32,3.77,4.2
Others America,2021,4,79.58,278.05,3.73,4.63
Others America,2021,3,91.23,282.79,2.92,6.07
Others America,2021,2,100.09,226.28,2.92,5.91
Others America,2021,1,63.66,177.94,4.35,5.89
Others America,2020,4,80.21,190.51,3.78,7.71
Others America,2020,3,76.77,209.42,2.55,7.01
Others America,2020,2,0.0,0.0,0.0,0.0
Others America,2020,1,91.63,325.6,4.6,4.32
Others America,2019,4,97.27,357.76,3.45,3.96
Others America,2019,3,90.72,337.28,2.5,4.81
Others America,2019,2,103.27,323.8,2.8,3.82
Others America,2019,1,85.38,221.46,3.73,3.42
Others America,2018,4,95.8,300.07,3.19,3.99
Others America,2018,3,78.25,331.67,2.27,5.07
Others America,2018,2,106.35,349.83,2.94,4.53
Others America,2018,1,112.34,409.76,4.09,5.88
Australia,2022,1,70.06,258.92,0.22,3.22
Australia,2021,4,67.17,246.6,0.15,3.29
Australia,2021,3,54.35,168.93,0.07,2.75
Australia,2021,2,50.32,114.13,0.07,2.66
Australia,2021,1,40.61,111.81,0.12,3.55
Australia,2020,4,40.3,99.47,0.12,4.32
Australia,2020,3,43.23,117.51,0.13,5.14
Australia,2020,2,0.0,0.0,0.0,0.0
Australia,2020,1,67.09,253.02,0.4,2.98
Australia,2019,4,86.92,330.11,1.19,6.27
Australia,2019,3,79.29,291.9,0.92,3.57
Australia,2019,2,102.45,325.07,1.57,5.98
Australia,2019,1,73.93,192.78,0.37,2.14
Australia,2018,4,89.57,303.09,1.3,6.13
Australia,2018,3,76.42,327.74,0.99,3.7
Australia,2018,2,95.96,314.67,1.55,5.52
Australia,2018,1,85.77,309.65,0.35,2.65
China,2022,1,166.99,634.74,0.48,3.12
China,2021,4,115.33,423.24,0.26,2.34
China,2021,3,111.11,344.09,0.15,2.31
China,2021,2,129.69,291.27,0.29,2.84
China,2021,1,170.31,470.62,0.91,5.21
China,2020,4,120.62,285.87,0.46,4.47
China,2020,3,101.62,281.11,0.36,3.76
China,2020,2,0.0,0.0,0.0,0.0
China,2020,1,100.15,339.95,0.81,1.15
China,2019,4,89.32,328.18,0.52,0.77
China,2019,3,118.48,438.98,0.37,0.99
China,2019,2,129.12,396.66,0.51,0.86
China,2019,1,117.72,302.82,1.02,0.86
China,2018,4,157.69,487.27,0.98,1.34
China,2018,3,162.69,690.77,0.48,1.24
China,2018,2,150.31,498.78,0.76,1.19
China,2018,1,214.16,763.38,1.7,2.2
Korea,2022,1,43.5,163.88,0.13,3.33
Korea,2021,4,52.34,178.13,0.11,4.05
Korea,2021,3,61.37,193.4,0.03,3.42
Korea,2021,2,74.95,171.74,0.04,2.6
Korea,2021,1,79.84,221.76,0.05,2.7
Korea,2020,4,70.96,178.09,0.05,4.38
Korea,2020,3,38.3,103.43,0.02,2.7
Korea,2020,2,0.0,0.0,0.0,0.0
Korea,2020,1,49.76,173.06,0.4,1.86
Korea,2019,4,79.38,296.76,0.65,3.86
Korea,2019,3,65.42,243.32,0.27,3.14
Korea,2019,2,89.02,279.25,0.57,4.18
Korea,2019,1,51.84,133.6,0.33,1.13
Korea,2018,4,75.68,245.81,0.51,2.85
Korea,2018,3,68.45,288.74,0.21,2.58
Korea,2018,2,91.48,301.57,0.54,4.08
Korea,2018,1,71.21,262.72,0.36,2.25
Emirates,2022,1,84.4,313.22,0.16,1.01
Emirates,2021,4,130.39,485.64,0.29,1.87
Emirates,2021,3,101.48,310.89,0.32,1.58
Emirates,2021,2,216.16,491.73,0.27,2.32
Emirates,2021,1,175.13,478.72,0.27,2.67
Emirates,2020,4,100.2,254.51,0.2,2.98
Emirates,2020,3,99.96,279.88,0.32,3.57
Emirates,2020,2,0.0,0.0,0.0,0.0
Emirates,2020,1,110.87,392.11,0.19,1.14
Emirates,2019,4,117.05,426.09,0.16,1.02
Emirates,2019,3,103.62,388.61,0.24,1.29
Emirates,2019,2,130.92,408.27,0.16,0.9
Emirates,2019,1,161.35,416.55,0.23,1.01
Emirates,2018,4,212.43,640.11,0.23,1.32
Emirates,2018,3,134.19,562.04,0.3,1.66
Emirates,2018,2,170.06,568.26,0.21,1.36
Emirates,2018,1,299.11,1054.84,0.49,3.42
Japan,2022,1,36.34,133.46,0.11,2.84
Japan,2021,4,44.16,155.57,0.1,3.36
Japan,2021,3,53.34,163.88,0.05,3.09
Japan,2021,2,65.17,148.36,0.04,2.13
Japan,2021,1,45.08,126.94,0.06,2.0
Japan,2020,4,65.96,155.97,0.07,3.03
Japan,2020,3,50.03,139.82,0.04,2.46
Japan,2020,2,0.0,0.0,0.0,0.0
Japan,2020,1,54.77,190.6,0.31,1.5
Japan,2019,4,67.78,250.74,0.35,2.1
Japan,2019,3,71.93,266.5,0.26,2.45
Japan,2019,2,78.98,248.81,0.36,2.57
Japan,2019,1,50.23,129.87,0.26,1.11
Japan,2018,4,62.32,201.71,0.31,2.07
Japan,2018,3,60.8,259.04,0.22,2.56
Japan,2018,2,90.0,291.79,0.4,3.57
Japan,2018,1,59.11,205.55,0.25,1.84
Turkey,2022,1,53.97,197.8,0.22,4.02
Turkey,2021,4,59.36,205.66,0.27,5.32
Turkey,2021,3,46.88,146.81,0.08,2.67
Turkey,2021,2,47.73,107.88,0.16,4.14
Turkey,2021,1,43.18,116.59,0.26,5.84
Turkey,2020,4,65.15,149.23,0.16,6.5
Turkey,2020,3,46.2,125.3,0.07,3.66
Turkey,2020,2,0.0,0.0,0.0,0.0
Turkey,2020,1,67.9,232.94,0.36,4.07
Turkey,2019,4,94.74,347.36,0.4,5.23
Turkey,2019,3,73.62,272.54,0.14,3.26
Turkey,2019,2,89.23,273.96,0.22,2.81
Turkey,2019,1,68.09,174.31,0.36,3.61
Turkey,2018,4,85.03,261.11,0.28,4.45
Turkey,2018,3,64.36,272.2,0.11,2.65
Turkey,2018,2,68.24,225.42,0.22,2.7
Turkey,2018,1,72.37,254.13,0.37,4.29
Other,2022,1,73.04,273.9,1.89,1.9
Other,2021,4,71.16,248.56,1.64,1.88
Other,2021,3,91.81,287.41,1.08,1.58
Other,2021,2,107.78,244.19,1.84,3.7
Other,2021,1,108.28,297.41,2.59,4.07
Other,2020,4,162.66,389.08,2.71,6.06
Other,2020,3,134.42,367.79,1.56,4.4
Other,2020,2,0.0,0.0,0.0,0.0
Other,2020,1,123.2,426.85,2.18,1.58
Other,2019,4,114.14,426.02,2.2,1.77
Other,2019,3,101.42,375.74,1.55,1.29
Other,2019,2,129.7,406.59,2.21,1.93
Other,2019,1,123.33,318.48,1.98,1.19
Other,2018,4,130.81,423.65,2.4,2.03
Other,2018,3,101.37,430.98,1.64,1.51
Other,2018,2,110.11,358.48,1.87,1.79
Other,2018,1,147.96,528.21,1.93,2.0
