accommodation_type,year,month,travellers_Spain,travellers_Foreign,total_travellers,nights_Spain,nights_Foreign,total_nights,avg_days
Hotels,2022,Aug,568722,157822,726544,1324693,289657,1614350,2.22
Hotels,2022,Jul,464774,150376,615150,1041010,264660,1305670,2.12
Hotels,2022,Jun,312708,168803,481511,621095,271876,892971,1.85
Hotels,2022,May,272096,170461,442557,509886,256591,766477,1.73
Hotels,2022,Apr,276491,102536,379027,520912,162069,682981,1.8
Hotels,2022,Mar,174139,41371,215510,332906,79090,411996,1.91
Hotels,2022,Feb,153048,24579,177627,272890,46376,319266,1.8
Hotels,2022,Jan,109775,17605,127380,195591,40721,236312,1.86
Hotels,2021,Dec,180211,22331,202542,349464,44304,393768,1.94
Hotels,2021,Nov,196209,34675,230884,374296,61280,435576,1.89
Hotels,2021,Oct,304785,94344,399129,598102,149179,747281,1.87
Hotels,2021,Sep,365209,99283,464492,770473,163256,933729,2.01
Hotels,2021,Aug,573951,82000,655951,1357260,161614,1518874,2.32
Hotels,2021,Jul,437167,61787,498954,965649,115371,1081020,2.17
Hotels,2021,Jun,229307,40803,270110,443180,76642,519822,1.92
Hotels,2021,May,137888,16311,154199,249610,34944,284554,1.85
Hotels,2021,Apr,93955,6941,100896,174635,17997,192632,1.91
Hotels,2021,Mar,81456,5974,87430,159697,17125,176822,2.02
Hotels,2021,Feb,38927,3713,42640,88896,12594,101490,2.38
Hotels,2021,Jan,39470,4377,43847,96135,15207,111342,2.54
Hotels,2020,Dec,48740,4356,53096,110512,13491,124003,2.34
Hotels,2020,Nov,47909,5354,53263,113769,19298,133067,2.5
Hotels,2020,Oct,126936,15356,142292,243277,33667,276944,1.95
Hotels,2020,Sep,190153,21403,211556,373628,45064,418692,1.98
Hotels,2020,Aug,357723,38622,396345,837783,81290,919073,2.32
Hotels,2020,Jul,239192,25567,264759,552098,56601,608699,2.3
Hotels,2020,Jun,53914,3034,56948,105791,10680,116471,2.05
Hotels,2020,May,4606,441,5047,15557,2642,18199,3.61
Hotels,2020,Apr,0,0,0,0,0,0,0.0
Hotels,2020,Mar,74065,15444,89509,147182,34117,181299,2.03
Hotels,2020,Feb,171517,35438,206955,317158,72806,389964,1.88
Hotels,2020,Jan,151176,29141,180317,278203,61681,339884,1.88
Hotels,2019,Dec,207211,32696,239907,392872,67854,460726,1.92
Hotels,2019,Nov,197689,43857,241546,412580,87851,500431,2.07
Hotels,2019,Oct,273113,141469,414582,558569,231977,790546,1.91
Hotels,2019,Sep,330300,197865,528165,711609,323687,1035296,1.96
Hotels,2019,Aug,504005,156802,660807,1269972,291613,1561585,2.36
Hotels,2019,Jul,404302,134432,538734,963299,254982,1218281,2.26
Hotels,2019,Jun,290639,168198,458837,591155,278500,869655,1.9
Hotels,2019,May,257141,168166,425307,506098,259803,765901,1.8
Hotels,2019,Apr,250716,111219,361935,494636,190664,685300,1.89
Hotels,2019,Mar,189698,46332,236030,364653,94986,459639,1.95
Hotels,2019,Feb,155544,26732,182276,281245,54938,336183,1.84
Hotels,2019,Jan,139771,26066,165837,252961,57149,310110,1.87
Hotels,2018,Dec,185832,36030,221862,346662,67581,414243,1.87
Hotels,2018,Nov,195501,41644,237145,402090,97946,500036,2.11
Hotels,2018,Oct,263596,120873,384469,559412,200210,759622,1.98
Hotels,2018,Sep,320345,171572,491917,692979,279172,972151,1.98
Hotels,2018,Aug,483188,155147,638335,1210429,290528,1500957,2.35
Hotels,2018,Jul,377584,130582,508166,914963,234447,1149410,2.26
Hotels,2018,Jun,283272,143035,426307,577608,235585,813193,1.91
Hotels,2018,May,231563,151154,382717,447645,232858,680503,1.78
Hotels,2018,Apr,218486,84224,302710,430021,150357,580378,1.92
Hotels,2018,Mar,218929,48437,267366,406165,88017,494182,1.85
Hotels,2018,Feb,151232,30444,181676,265015,60996,326011,1.79
Hotels,2018,Jan,138288,25721,164009,249481,53783,303264,1.85
Hotels,2017,Dec,171455,30677,202132,324672,58561,383233,1.9
Hotels,2017,Nov,193308,45864,239172,387923,78778,466701,1.95
Hotels,2017,Oct,276745,152106,428851,581362,228779,810141,1.89
Hotels,2017,Sep,324660,203179,527839,706877,307209,1014086,1.92
Hotels,2017,Aug,532857,172552,705409,1310118,305846,1615964,2.29
Hotels,2017,Jul,427993,160147,588140,992971,274194,1267165,2.15
Hotels,2017,Jun,294836,172121,466957,599923,268953,868876,1.86
Hotels,2017,May,231162,167848,399010,436823,246606,683429,1.71
Hotels,2017,Apr,275310,101943,377253,533094,160948,694042,1.84
Hotels,2017,Mar,183403,39157,222560,336761,73660,410421,1.84
Hotels,2017,Feb,150944,28754,179698,259619,51365,310984,1.73
Hotels,2017,Jan,133806,24828,158634,233001,49883,282884,1.78
Hotels,2016,Dec,158715,29248,187963,303058,52175,355233,1.89
Hotels,2016,Nov,176386,39986,216372,351473,73408,424881,1.96
Hotels,2016,Oct,271124,135116,406240,561319,209345,770664,1.9
Hotels,2016,Sep,327416,190246,517662,684870,285702,970572,1.87
Hotels,2016,Aug,526636,176566,703202,1230387,294556,1524943,2.17
Hotels,2016,Jul,434600,149827,584427,960151,243160,1203311,2.06
Hotels,2016,Jun,290026,168635,458661,543736,248405,792141,1.73
Hotels,2016,May,224761,161431,386192,410466,231903,642369,1.66
Hotels,2016,Apr,197903,83403,281306,349550,131829,481379,1.71
Hotels,2016,Mar,218093,44159,262252,417791,75326,493117,1.88
Hotels,2016,Feb,148909,24315,173224,272258,45139,317397,1.83
Hotels,2016,Jan,128415,20486,148901,222392,43295,265687,1.78
Hotels,2015,Dec,155244,27454,182698,279375,49907,329282,1.8
Hotels,2015,Nov,161194,36967,198161,307200,64164,371364,1.87
Hotels,2015,Oct,252380,121910,374290,509317,183448,692765,1.85
Hotels,2015,Sep,312121,173654,485775,628930,268376,897306,1.85
Hotels,2015,Aug,504571,171355,675926,1169976,286250,1456226,2.15
Hotels,2015,Jul,408165,153172,561337,849171,240253,1089424,1.94
Hotels,2015,Jun,273485,161539,435024,520565,237804,758369,1.74
Hotels,2015,May,221350,151743,373093,419383,210203,629586,1.69
Hotels,2015,Apr,214954,81877,296831,410119,124997,535116,1.8
Hotels,2015,Mar,177739,36897,214636,334757,67772,402529,1.88
Hotels,2015,Feb,132654,21465,154119,234776,42917,277693,1.8
Hotels,2015,Jan,114604,19695,134299,204728,40314,245042,1.82
Hotels,2014,Dec,143794,23560,167354,263534,43061,306595,1.83
Hotels,2014,Nov,156078,30700,186778,322387,57526,379913,2.03
Hotels,2014,Oct,232581,100843,333424,481055,163402,644457,1.93
Hotels,2014,Sep,286817,153019,439836,606072,235663,841735,1.91
Hotels,2014,Aug,479843,151107,630950,1098939,249743,1348682,2.14
Hotels,2014,Jul,340620,122714,463334,735697,199653,935350,2.02
Hotels,2014,Jun,234163,130931,365094,471734,200813,672547,1.84
Hotels,2014,May,209214,133714,342928,404494,200891,605385,1.77
Hotels,2014,Apr,204276,71011,275287,390314,107080,497394,1.81
Hotels,2014,Mar,147056,26479,173535,294933,52839,347772,2.0
Hotels,2014,Feb,129189,18179,147368,233365,39940,273305,1.85
Hotels,2014,Jan,105476,16207,121683,207573,35909,243482,2.0
Hotels,2013,Dec,139117,19527,158644,269797,41925,311722,1.96
Hotels,2013,Nov,156933,26677,183610,329959,52661,382620,2.08
Hotels,2013,Oct,208133,81785,289918,432806,134712,567518,1.96
Hotels,2013,Sep,270135,122999,393134,578187,198426,776613,1.98
Hotels,2013,Aug,451989,125507,577496,1066191,220304,1286495,2.23
Hotels,2013,Jul,325560,102933,428493,723996,177972,901968,2.1
Hotels,2013,Jun,227905,114337,342242,435853,184894,620747,1.81
Hotels,2013,May,196695,107480,304175,396529,160847,557376,1.83
Hotels,2013,Apr,157662,58292,215954,317087,96028,413115,1.91
Hotels,2013,Mar,178499,34389,212888,347558,69053,416611,1.96
Hotels,2013,Feb,118884,19090,137974,231179,43089,274268,1.99
Hotels,2013,Jan,113740,15890,129630,215028,37602,252630,1.95
Hotels,2012,Dec,133041,22566,155607,252890,47885,300775,1.93
Hotels,2012,Nov,153029,25488,178517,322244,55094,377338,2.11
Hotels,2012,Oct,218505,73689,292194,467711,125785,593496,2.03
Hotels,2012,Sep,252680,113770,366450,548205,190141,738346,2.01
Hotels,2012,Aug,398558,114037,512595,990617,201591,1192208,2.33
Hotels,2012,Jul,293436,88763,382199,700690,157990,858680,2.25
Hotels,2012,Jun,226777,87989,314766,466852,154880,621732,1.98
Hotels,2012,May,182177,92498,274675,385255,144212,529467,1.93
Hotels,2012,Apr,206239,57924,264163,418134,98711,516845,1.96
Hotels,2012,Mar,156904,28623,185527,314351,53837,368188,1.98
Hotels,2012,Feb,138387,19718,158105,249599,44289,293888,1.86
Hotels,2012,Jan,113860,17688,131548,212237,40126,252363,1.92
Hotels,2011,Dec,140786,19958,160744,284170,40638,324808,2.02
Hotels,2011,Nov,151606,25147,176753,326234,53294,379528,2.15
Hotels,2011,Oct,232510,68945,301455,517250,115645,632895,2.1
Hotels,2011,Sep,275096,102556,377652,623876,165804,789680,2.09
Hotels,2011,Aug,417788,115487,533275,1030532,208201,1238733,2.32
Hotels,2011,Jul,343931,92280,436211,828596,166755,995351,2.28
Hotels,2011,Jun,243176,94352,337528,527578,160080,687658,2.04
Hotels,2011,May,201701,85954,287655,444578,139715,584293,2.03
Hotels,2011,Apr,215276,54829,270105,477139,96470,573609,2.12
Hotels,2011,Mar,160293,27610,187903,329759,55903,385662,2.05
Hotels,2011,Feb,132340,19199,151539,257635,44357,301992,1.99
Hotels,2011,Jan,116959,16289,133248,221052,43074,264126,1.98
Hotels,2010,Dec,166347,22758,189105,333406,46780,380186,2.01
Hotels,2010,Nov,186311,26297,212608,392694,53822,446516,2.1
Hotels,2010,Oct,291408,75055,366463,640473,137978,778451,2.12
Hotels,2010,Sep,326117,102155,428272,755947,180775,936722,2.19
Hotels,2010,Aug,451126,111030,562156,1153831,209372,1363203,2.42
Hotels,2010,Jul,364717,95953,460670,858602,182414,1041016,2.26
Hotels,2010,Jun,292478,87775,380253,639584,150768,790352,2.08
Hotels,2010,May,262904,91029,353933,558830,144302,703132,1.99
Hotels,2010,Apr,248503,53729,302232,531445,99875,631320,2.09
Hotels,2010,Mar,201437,28352,229789,409948,62717,472665,2.06
Hotels,2010,Feb,147111,23366,170477,287530,54271,341801,2.0
Hotels,2010,Jan,125731,17306,143037,245674,43100,288774,2.02
Hotels,2009,Dec,155555,23604,179159,313126,45518,358644,2.0
Hotels,2009,Nov,171658,27055,198713,364689,59618,424307,2.14
Hotels,2009,Oct,254540,69495,324035,563570,121471,685041,2.11
Hotels,2009,Sep,282148,83460,365608,643505,150910,794415,2.17
Hotels,2009,Aug,436526,89208,525734,1117813,164740,1282553,2.44
Hotels,2009,Jul,327882,77905,405787,806779,149924,956703,2.36
Hotels,2009,Jun,239428,76733,316161,543608,136212,679820,2.15
Hotels,2009,May,221102,75190,296292,481151,131560,612711,2.07
Hotels,2009,Apr,214435,47184,261619,468836,87697,556533,2.13
Hotels,2009,Mar,174744,26695,201439,368327,60314,428641,2.13
Hotels,2009,Feb,147568,25126,172694,297417,53911,351328,2.03
Hotels,2009,Jan,131600,20615,152215,261751,52008,313759,2.06
Hotels,2008,Dec,149259,24374,173633,312260,52473,364733,2.1
Hotels,2008,Nov,179452,30082,209534,389716,64758,454474,2.17
Hotels,2008,Oct,251234,63188,314422,560036,117453,677489,2.15
Hotels,2008,Sep,267969,84236,352205,623126,154864,777990,2.21
Hotels,2008,Aug,418257,92906,511163,1072448,179583,1252031,2.45
Hotels,2008,Jul,324767,80528,405295,799759,164380,964139,2.38
Hotels,2008,Jun,246229,79605,325834,556379,146056,702435,2.16
Hotels,2008,May,244517,86352,330869,534778,151093,685871,2.07
Hotels,2008,Apr,205601,56891,262492,429133,111997,541130,2.06
Hotels,2008,Mar,230286,38381,268667,503697,83854,587551,2.19
Hotels,2008,Feb,171467,29706,201173,343573,71962,415535,2.07
Hotels,2008,Jan,150410,27043,177453,309651,57337,366988,2.07
Hotels,2007,Dec,172760,29402,202162,350470,64540,415010,2.05
Hotels,2007,Nov,205599,35728,241327,434480,77109,511589,2.12
Hotels,2007,Oct,276480,76623,353103,596686,137922,734608,2.08
Hotels,2007,Sep,303405,89593,392998,678052,159532,837584,2.13
Hotels,2007,Aug,457726,102940,560666,1171552,196768,1368320,2.44
Hotels,2007,Jul,351175,85287,436462,836021,166534,1002555,2.3
Hotels,2007,Jun,258681,87262,345943,560940,167435,728375,2.11
Hotels,2007,May,222944,80021,302965,451964,147701,599665,1.98
Hotels,2007,Apr,252003,59545,311548,532241,112532,644773,2.07
Hotels,2007,Mar,202108,34004,236112,399393,75938,475331,2.01
Hotels,2007,Feb,154763,29110,183873,297623,65665,363288,1.98
Hotels,2007,Jan,150174,22191,172365,288996,54884,343880,2.0
Hotels,2006,Dec,165020,29890,194910,336119,56858,392977,2.02
Hotels,2006,Nov,188688,28609,217297,379884,62252,442136,2.03
Hotels,2006,Oct,246768,61369,308137,535246,111318,646564,2.1
Hotels,2006,Sep,286742,81536,368278,643269,145052,788321,2.14
Hotels,2006,Aug,442343,95480,537823,1170150,183759,1353909,2.52
Hotels,2006,Jul,356589,79455,436044,894305,158986,1053291,2.42
Hotels,2006,Jun,264688,72335,337023,559282,135348,694630,2.06
Hotels,2006,May,231881,69669,301550,475049,120865,595914,1.98
Hotels,2006,Apr,260980,56099,317079,544959,95036,639995,2.02
Hotels,2006,Mar,194813,28351,223164,388385,58458,446843,2.0
Hotels,2006,Feb,157591,27239,184830,307912,54223,362135,1.96
Hotels,2006,Jan,148675,24410,173085,290107,51223,341330,1.97
Hotels,2005,Dec,164919,30622,195541,330036,56508,386544,1.98
Hotels,2005,Nov,197524,33974,231498,392404,74247,466651,2.02
Hotels,2005,Oct,240793,60491,301284,509751,112714,622465,2.07
Hotels,2005,Sep,295630,76562,372192,671642,142141,813783,2.19
Hotels,2005,Aug,468195,94104,562299,1218855,186379,1405234,2.5
Hotels,2005,Jul,365832,78224,444056,873958,155130,1029088,2.32
Hotels,2005,Jun,254693,73130,327823,544703,141556,686259,2.09
Hotels,2005,May,223232,62221,285453,462027,108811,570838,2.0
Hotels,2005,Apr,200809,46791,247600,399133,85590,484723,1.96
Hotels,2005,Mar,214316,29215,243531,449375,51815,501190,2.06
Hotels,2005,Feb,146436,21723,168159,280656,42508,323164,1.92
Hotels,2005,Jan,130891,19574,150465,260905,43939,304844,2.03
Hotels,2004,Dec,172007,24298,196305,357886,44361,402247,2.05
Hotels,2004,Nov,193019,27273,220292,393148,54438,447586,2.03
Hotels,2004,Oct,290065,58544,348609,604603,109316,713919,2.05
Hotels,2004,Sep,338609,76224,414833,756724,146292,903016,2.18
Hotels,2004,Aug,468415,89248,557663,1174325,179329,1353654,2.43
Hotels,2004,Jul,361781,73944,435725,851761,150307,1002068,2.3
Hotels,2004,Jun,295654,69306,364960,639399,134977,774376,2.12
Hotels,2004,May,254221,60474,314695,525853,106010,631863,2.01
Hotels,2004,Apr,244930,39052,283982,498705,68085,566790,2.0
Hotels,2004,Mar,186054,23490,209544,374700,49958,424658,2.03
Hotels,2004,Feb,151684,27881,179565,297824,57470,355294,1.98
Hotels,2004,Jan,132698,17117,149815,261089,37396,298485,1.99
Hotels,2003,Dec,142905,23618,166523,282537,44825,327362,1.97
Hotels,2003,Nov,158651,28164,186815,332031,58651,390682,2.09
Hotels,2003,Oct,212470,46137,258607,452477,88338,540815,2.09
Hotels,2003,Sep,284889,74183,359072,612544,136980,749524,2.09
Hotels,2003,Aug,425793,88235,514028,1072956,171355,1244311,2.42
Hotels,2003,Jul,294373,62536,356909,676360,121978,798338,2.24
Hotels,2003,Jun,220996,57548,278544,466540,100109,566649,2.03
Hotels,2003,May,195477,53264,248741,407063,90099,497162,2.0
Hotels,2003,Apr,182461,42114,224575,371767,71032,442799,1.97
Hotels,2003,Mar,155501,24806,180307,312960,46516,359476,1.99
Hotels,2003,Feb,123509,15886,139395,246385,35896,282281,2.03
Hotels,2003,Jan,122462,15409,137871,247441,33460,280901,2.04
Hotels,2002,Dec,123353,22947,146300,275176,45146,320322,2.19
Hotels,2002,Nov,136043,20574,156617,326496,48371,374867,2.39
Hotels,2002,Oct,183697,40162,223859,454979,79410,534389,2.39
Hotels,2002,Sep,208683,60543,269226,532005,122168,654173,2.43
Hotels,2002,Aug,377593,78887,456480,1047092,165354,1212446,2.66
Hotels,2002,Jul,251747,56728,308475,660803,125335,786138,2.55
Hotels,2002,Jun,177250,53667,230917,438313,98374,536687,2.32
Hotels,2002,May,157533,48252,205785,390835,85721,476556,2.32
Hotels,2002,Apr,146223,38022,184245,348920,72547,421467,2.29
Hotels,2002,Mar,166786,24406,191192,393199,50341,443540,2.32
Hotels,2002,Feb,113314,17863,131177,244896,36035,280931,2.14
Hotels,2002,Jan,96185,11998,108183,196889,25169,222058,2.05
Hotels,2001,Dec,121860,20967,142827,259180,39328,298508,2.09
Hotels,2001,Nov,140210,21212,161422,307451,39454,346905,2.15
Hotels,2001,Oct,176900,40615,217515,409983,72332,482315,2.22
Hotels,2001,Sep,213581,54881,268462,525114,105840,630954,2.35
Hotels,2001,Aug,355364,72248,427612,1001757,154930,1156687,2.7
Hotels,2001,Jul,239528,59357,298885,620542,129386,749928,2.51
Hotels,2001,Jun,171601,52104,223705,396343,96290,492633,2.2
Hotels,2001,May,147902,42735,190637,342371,72837,415208,2.18
Hotels,2001,Apr,158236,34462,192698,368551,63699,432250,2.24
Hotels,2001,Mar,129918,23163,153081,286968,46066,333034,2.18
Hotels,2001,Feb,106581,24422,131003,225723,44113,269836,2.06
Hotels,2001,Jan,101507,10642,112149,219875,23445,243320,2.17
Campings,2022,Aug,94794,31544,126338,397102,72425,469527,3.72
Campings,2022,Jul,74792,16544,91336,322090,37542,359632,3.94
Campings,2022,Jun,28616,9856,38472,92308,19865,112173,2.92
Campings,2022,May,5202,4485,9687,23155,9375,32530,3.36
Campings,2022,Apr,6293,2647,8940,15418,5118,20536,2.3
Campings,2022,Mar,392,639,1031,724,1184,1908,1.85
Campings,2022,Feb,745,264,1009,1256,514,1770,1.75
Campings,2022,Jan,688,111,799,975,214,1189,1.49
Campings,2021,Dec,988,113,1101,1600,176,1776,1.61
Campings,2021,Nov,1118,743,1861,1747,1221,2968,1.6
Campings,2021,Oct,2176,1531,3707,4041,2827,6868,1.85
Campings,2021,Sep,18610,9378,27988,83856,23583,107439,3.84
Campings,2021,Aug,107957,17774,125731,402618,48227,450845,3.59
Campings,2021,Jul,73337,11927,85264,309554,26375,335929,3.94
Campings,2021,Jun,26720,4729,31449,86446,11266,97712,3.11
Campings,2021,May,5144,438,5582,9492,1004,10496,1.88
Campings,2021,Apr,2749,191,2940,5730,358,6088,2.07
Campings,2021,Mar,1490,0,1490,2763,0,2763,1.85
Campings,2021,Feb,85,0,85,192,0,192,2.26
Campings,2021,Jan,30,0,30,66,0,66,2.2
Campings,2020,Dec,-1,-1,-2,-1,-1,-2,1.0
Campings,2020,Nov,238,8,246,455,31,486,1.98
Campings,2020,Oct,870,103,973,1626,225,1851,1.9
Campings,2020,Sep,17797,1758,19555,77200,5103,82303,4.21
Campings,2020,Aug,70371,6547,76918,289778,17562,307340,4.0
Campings,2020,Jul,62247,4886,67133,251034,12278,263312,3.92
Campings,2020,Jun,16104,234,16338,48825,2447,51272,3.14
Campings,2020,May,-1,-1,-2,-1,-1,-2,1.0
Campings,2020,Apr,0,0,0,0,0,0,0.0
Campings,2020,Mar,15,0,15,23,0,23,1.52
Campings,2020,Feb,93,143,236,195,197,392,1.66
Campings,2020,Jan,41,166,207,152,216,368,1.78
Campings,2019,Dec,181,176,357,-1,-1,-2,1.91
Campings,2019,Nov,384,175,559,707,325,1032,1.85
Campings,2019,Oct,620,1291,1911,1208,2128,3336,1.75
Campings,2019,Sep,17812,12704,30516,77635,29160,106795,3.5
Campings,2019,Aug,81351,31948,113299,347344,78760,426104,3.76
Campings,2019,Jul,58891,16596,75487,271095,40783,311878,4.13
Campings,2019,Jun,24055,7858,31913,83672,15361,99033,3.1
Campings,2019,May,3496,4871,8367,8853,7974,16827,2.01
Campings,2019,Apr,3450,1579,5029,9297,2942,12239,2.43
Campings,2019,Mar,389,277,666,746,481,1227,1.84
Campings,2019,Feb,47,165,212,137,185,322,1.52
Campings,2019,Jan,52,56,108,150,76,226,2.09
Campings,2018,Dec,62,146,208,139,285,424,2.04
Campings,2018,Nov,223,70,293,392,190,582,1.99
Campings,2018,Oct,537,1088,1625,2046,1956,4002,2.46
Campings,2018,Sep,18264,12000,30264,62260,29546,91806,3.03
Campings,2018,Aug,86213,31304,117517,353616,80643,434259,3.7
Campings,2018,Jul,60056,15616,75672,264295,38370,302665,4.0
Campings,2018,Jun,17726,7339,25065,68362,16188,84550,3.37
Campings,2018,May,2084,3932,6016,8855,6782,15637,2.6
Campings,2018,Apr,1286,1356,2642,3447,2543,5990,2.27
Campings,2018,Mar,991,253,1244,2485,508,2993,2.41
Campings,2018,Feb,120,104,224,304,170,474,2.11
Campings,2018,Jan,45,65,110,47,139,186,1.69
Campings,2017,Dec,138,75,213,318,146,464,2.17
Campings,2017,Nov,299,138,437,568,322,890,2.04
Campings,2017,Oct,607,1452,2059,1454,2660,4114,2.0
Campings,2017,Sep,10170,11831,22001,46308,24512,70820,3.22
Campings,2017,Aug,86150,28970,115120,352287,68766,421053,3.66
Campings,2017,Jul,66151,15346,81497,275975,37406,313381,3.85
Campings,2017,Jun,19660,9645,29305,68944,18641,87585,2.99
Campings,2017,May,2755,3488,6243,7432,6460,13892,2.23
Campings,2017,Apr,4993,1894,6887,13490,3237,16727,2.43
Campings,2017,Mar,401,267,668,689,435,1124,1.68
Campings,2017,Feb,78,71,149,101,158,259,1.74
Campings,2017,Jan,30,85,115,43,208,251,2.18
Campings,2016,Dec,42,115,157,48,190,238,1.52
Campings,2016,Nov,365,127,492,629,269,898,1.83
Campings,2016,Oct,678,523,1201,1638,932,2570,2.14
Campings,2016,Sep,13465,10963,24428,47758,18414,66172,2.71
Campings,2016,Aug,85433,32262,117695,351846,81721,433567,3.68
Campings,2016,Jul,70732,19683,90415,293689,42931,336620,3.72
Campings,2016,Jun,20508,7785,28293,80529,15621,96150,3.4
Campings,2016,May,2206,2381,4587,7849,4510,12359,2.69
Campings,2016,Apr,1582,1051,2633,4864,2566,7430,2.82
Campings,2016,Mar,1605,475,2080,5104,652,5756,2.77
Campings,2016,Feb,127,136,263,216,241,457,1.74
Campings,2016,Jan,90,54,144,142,132,274,1.9
Campings,2015,Dec,191,43,234,385,101,486,2.08
Campings,2015,Nov,354,99,453,577,188,765,1.69
Campings,2015,Oct,377,456,833,707,953,1660,1.99
Campings,2015,Sep,10089,6549,16638,46226,16404,62630,3.76
Campings,2015,Aug,69708,23832,93540,303440,57209,360649,3.86
Campings,2015,Jul,60639,17075,77714,245386,35906,281292,3.62
Campings,2015,Jun,23349,6996,30345,81267,13481,94748,3.12
Campings,2015,May,3663,2564,6227,11285,5796,17081,2.74
Campings,2015,Apr,3100,823,3923,10666,1723,12389,3.16
Campings,2015,Mar,889,244,1133,1738,455,2193,1.94
Campings,2015,Feb,105,70,175,181,144,325,1.86
Campings,2015,Jan,96,59,155,181,124,305,1.97
Campings,2014,Dec,189,101,290,489,181,670,2.31
Campings,2014,Nov,382,196,578,696,233,929,1.61
Campings,2014,Oct,690,409,1099,1225,697,1922,1.75
Campings,2014,Sep,10677,4695,15372,48559,11236,59795,3.89
Campings,2014,Aug,78391,28053,106444,323592,66214,389806,3.66
Campings,2014,Jul,53254,14364,67618,232123,33164,265287,3.92
Campings,2014,Jun,12865,6519,19384,54204,14195,68399,3.53
Campings,2014,May,3650,2003,5653,9523,3600,13123,2.32
Campings,2014,Apr,2902,1165,4067,8148,2059,10207,2.51
