Tipo de alojamiento	Total Nacional	Comunidades y Ciudades Autónomas	Periodo	Total
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M05	2,01
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M04	2,43
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M03	1,84
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M02	1,52
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M01	2,09
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M12	2,04
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M11	1,99
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M10	2,46
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M09	3,03
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M08	3,70
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M07	4,00
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M06	3,37
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M05	2,60
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M04	2,27
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M03	2,41
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M02	2,11
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M01	1,69
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M12	2,17
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M11	2,04
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M10	2,00
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M09	3,22
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M08	3,66
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M07	3,85
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M06	2,99
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M05	2,23
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M04	2,43
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M03	1,68
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M02	1,74
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M01	2,18
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M12	1,52
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M11	1,83
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M10	2,14
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M09	2,71
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M08	3,68
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M07	3,72
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M06	3,40
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M05	2,69
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M04	2,82
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M03	2,77
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M02	1,74
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M01	1,90
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M12	2,08
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M11	1,69
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M10	1,99
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M09	3,76
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M08	3,86
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M07	3,62
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M06	3,12
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M05	2,74
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M04	3,16
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M03	1,94
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M02	1,86
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M01	1,97
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2014M12	2,31
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2014M11	1,61
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2014M10	1,75
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2014M09	3,89
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2014M08	3,66
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2014M07	3,92
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2014M06	3,53
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2014M05	2,32
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2014M04	2,51
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2014M03	1,87
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2014M02	1,37
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2014M01	1,43
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2013M12	2,06
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2013M11	1,71
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2013M10	1,83
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2013M09	3,33
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2013M08	3,62
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2013M07	3,83
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2013M06	3,44
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2013M05	2,47
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2013M04	3,08
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2013M03	2,91
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2013M02	1,75
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2013M01	1,80
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2012M12	2,03
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2012M11	1,76
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2012M10	1,83
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2012M09	3,52
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2012M08	3,77
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2012M07	3,81
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2012M06	3,69
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2012M05	3,09
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2012M04	3,15
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2012M03	1,57
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2012M02	1,73
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2012M01	1,87
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2011M12	1,97
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2011M11	1,53
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2011M10	1,73
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2011M09	3,61
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2011M08	3,74
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2011M07	3,61
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2011M06	3,80
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2011M05	2,95
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2011M04	3,02
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2011M03	1,90
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2011M02	1,58
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2011M01	1,63
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2010M12	2,19
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2010M11	1,98
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2010M10	2,23
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2010M09	3,54
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2010M08	3,68
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2010M07	3,71
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2010M06	3,59
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2010M05	2,37
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2010M04	2,65
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2010M03	1,73
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2010M02	1,77
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2010M01	1,87
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2009M12	2,06
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2009M11	2,04
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2009M10	2,18
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2009M09	4,27
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2009M08	3,88
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2009M07	4,08
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2009M06	3,64
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2009M05	3,66
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2009M04	3,18
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2009M03	1,84
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2009M02	1,62
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2009M01	1,34
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2008M12	1,95
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2008M11	1,94
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2008M10	2,36
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2008M09	4,61
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2008M08	3,73
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2008M07	3,88
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2008M06	3,64
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2008M05	3,05
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2008M04	4,18
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2008M03	3,19
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2008M02	1,56
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2008M01	1,32
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2007M12	2,03
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2007M11	2,10
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2007M10	2,00
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2007M09	3,55
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2007M08	3,67
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2007M07	3,94
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2007M06	3,46
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2007M05	2,46
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2007M04	2,73
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2007M03	5,31
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2007M02	1,93
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2007M01	2,00
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2006M12	2,11
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2006M11	1,69
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2006M10	2,28
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2006M09	3,66
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2006M08	3,66
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2006M07	3,97
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2006M06	3,73
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2006M05	2,42
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2006M04	2,57
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2006M03	1,60
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2006M02	1,66
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2006M01	1,71
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2005M12	2,53
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2005M11	4,05
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2005M10	2,87
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2005M09	3,68
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2005M08	3,54
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2005M07	3,54
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2005M06	2,95
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2005M05	2,21
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2005M04	2,28
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2005M03	3,84
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2005M02	2,97
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2005M01	2,04
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2004M12	2,34
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2004M11	1,95
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2004M10	2,65
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2004M09	4,01
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2004M08	3,65
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2004M07	3,50
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2004M06	4,00
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2004M05	2,37
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2004M04	2,72
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2004M03	1,71
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2004M02	1,83
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2004M01	1,61
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2003M12	3,44
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2003M11	1,80
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2003M10	..
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2003M09	3,63
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2003M08	3,98
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2003M07	4,39
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2003M06	3,29
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2003M05	2,10
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2003M04	2,94
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2003M03	1,64
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2003M02	4,57
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2003M01	6,39
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2002M12	4,42
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2002M11	1,93
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2002M10	2,04
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2002M09	3,52
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2002M08	4,28
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2002M07	4,00
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2002M06	3,91
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2002M05	2,87
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2002M04	2,21
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2002M03	2,99
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2002M02	2,04
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2002M01	1,60
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2001M12	3,11
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2001M11	1,99
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2001M10	2,48
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2001M09	3,41
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2001M08	3,89
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2001M07	4,25
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2001M06	3,61
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2001M05	2,79
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2001M04	2,70
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2001M03	1,41
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2001M02	1,76
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2001M01	2,00
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2022M08	4,21
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2022M07	3,69
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2022M06	2,67
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2022M05	2,35
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2022M04	2,26
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2022M03	3,02
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2022M02	2,74
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2022M01	3,39
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2021M12	3,25
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2021M11	3,28
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2021M10	2,65
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2021M09	3,26
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2021M08	4,60
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2021M07	4,15
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2021M06	3,14
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2021M05	2,53
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2021M04	2,80
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2021M03	2,78
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2021M02	8,41
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2021M01	5,59
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2020M12	5,44
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2020M11	4,81
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2020M10	3,18
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2020M09	3,26
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2020M08	4,60
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2020M07	4,25
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2020M06	3,90
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2020M05	5,92
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2020M04	0,00
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2020M03	4,89
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2020M02	3,02
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2020M01	3,29
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2019M12	2,73
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2019M11	2,40
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2019M10	2,17
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2019M09	2,98
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2019M08	4,48
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2019M07	4,54
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2019M06	3,01
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2019M05	3,37
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2019M04	3,21
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2019M03	2,51
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2019M02	2,52
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2019M01	2,45
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2018M12	2,72
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2018M11	2,55
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2018M10	2,68
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2018M09	3,27
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2018M08	4,37
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2018M07	4,33
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2018M06	2,72
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2018M05	2,09
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2018M04	2,37
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2018M03	2,71
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2018M02	2,93
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2018M01	2,90
Encuesta de Ocupación en Apartamentos Turísticos	Total Nacional	12 Galicia	2017M12	3,12
