Totales Territoriales	Comunidades y Ciudades Autónomas	Residencia: Nivel 1	Residencia: Nivel 2	Viajeros y pernoctaciones	Periodo	Total
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M08	133.836
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M07	141.341
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M06	76.022
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M05	40.805
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M04	47.163
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M03	5.508
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M02	1.728
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M01	1.425
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M12	1.879
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M11	4.463
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M10	37.938
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M09	57.075
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M08	98.206
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M07	84.906
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M06	27.007
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M05	3.277
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M04	1.244
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M03	504
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M02	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M01	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M12	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M11	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M10	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M09	587
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M08	1.130
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M07	561
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M06	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M05	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M04	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M03	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M02	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M01	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M12	401
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M11	387
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M10	938
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M09	784
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M08	1.302
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M07	2.378
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M06	1.185
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M05	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M04	445
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M03	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M02	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M01	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M12	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M11	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M10	399
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M09	425
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M08	1.454
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M07	985
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M06	1.221
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M05	478
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M04	334
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M03	339
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M02	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M01	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M12	147
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M11	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M10	250
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M09	346
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M08	1.781
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M07	1.489
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M06	1.119
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M05	206
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M04	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M03	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M02	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M01	.
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M12	263
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M11	131
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M10	310
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M09	441
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M08	1.562
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M07	1.209
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M06	691
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M05	424
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M04	162
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M03	236
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M02	137
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M01	214
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M12	108
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M11	393
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M10	393
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M09	273
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M08	1.197
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M07	945
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M06	779
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M05	346
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M04	317
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M03	101
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M02	78
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M01	139
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M12	153
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M11	192
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M10	322
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M09	469
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M08	3.724
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M07	1.762
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M06	1.062
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M05	573
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M04	166
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M03	189
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M02	43
Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2014M01	27
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2022M08	172.499
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2022M07	159.181
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2022M06	86.214
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2022M05	45.857
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2022M04	48.907
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2022M03	5.537
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2022M02	1.850
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2022M01	1.447
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2021M12	2.105
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2021M11	4.865
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2021M10	43.357
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2021M09	67.051
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2021M08	113.703
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2021M07	103.040
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2021M06	32.557
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2021M05	4.095
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2021M04	1.632
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2021M03	881
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2021M02	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2021M01	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2020M12	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2020M11	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2020M10	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2020M09	1.720
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2020M08	4.586
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2020M07	2.818
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2020M06	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2020M05	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2020M04	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2020M03	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2020M02	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2020M01	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2019M12	1.117
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2019M11	624
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2019M10	3.189
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2019M09	1.914
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2019M08	3.712
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2019M07	10.997
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2019M06	3.382
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2019M05	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2019M04	929
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2019M03	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2019M02	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2019M01	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2018M12	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2018M11	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2018M10	588
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2018M09	1.670
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2018M08	10.984
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2018M07	9.848
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2018M06	3.085
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2018M05	546
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2018M04	945
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2018M03	611
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2018M02	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2018M01	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2017M12	250
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2017M11	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2017M10	373
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2017M09	1.018
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2017M08	11.783
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2017M07	9.379
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2017M06	3.250
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2017M05	366
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2017M04	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2017M03	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2017M02	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2017M01	.
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M12	493
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M11	166
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M10	492
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M09	814
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M08	8.941
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M07	7.667
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M06	1.879
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M05	521
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M04	337
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M03	440
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M02	186
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2016M01	310
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M12	145
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M11	508
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M10	618
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M09	340
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M08	8.063
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M07	6.852
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M06	1.721
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M05	467
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M04	910
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M03	182
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M02	124
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2015M01	159
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M12	179
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M11	216
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M10	465
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M09	940
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M08	13.270
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M07	8.577
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M06	2.784
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M05	1.100
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M04	1.369
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M03	365
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M02	74
Total Nacional	12 Galicia	Total 	Residentes en España	Pernoctaciones	2014M01	43
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M08	89.629
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M07	76.631
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M06	95.008
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M05	74.115
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M04	36.100
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M03	7.150
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Viajero	2022M02	2.732
